period,place,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
12/24/2020,Chile,1725,590914,11,16228
12/25/2020,Chile,2396,593310,75,16303
12/26/2020,Chile,2521,595831,55,16358
12/27/2020,Chile,2563,598394,46,16404
12/28/2020,Chile,1711,600105,39,16443
12/29/2020,Chile,1923,602028,0,16443
12/30/2020,Chile,1958,603986,45,16488
12/31/2020,Chile,1964,605950,11,16499
1/1/2021,Chile,3023,608973,109,16608
1/2/2021,Chile,3591,612564,52,16660
1/3/2021,Chile,3338,615902,64,16724
1/4/2021,Chile,2289,618191,43,16767
1/5/2021,Chile,2450,620641,0,16767
1/6/2021,Chile,2460,623101,21,16788
1/7/2021,Chile,2382,625483,28,16816
1/8/2021,Chile,3693,629176,97,16913
1/9/2021,Chile,4205,633381,61,16974
1/10/2021,Chile,4361,637742,63,17037
1/11/2021,Chile,4181,641923,59,17096
1/12/2021,Chile,3969,645892,66,17162
1/13/2021,Chile,3243,649135,20,17182
1/14/2021,Chile,3390,652525,22,17204
1/15/2021,Chile,4187,656712,90,17294
1/16/2021,Chile,4468,661180,75,17369
1/17/2021,Chile,4313,665493,66,17435
1/18/2021,Chile,4339,669832,42,17477
1/19/2021,Chile,3918,673750,70,17547
1/20/2021,Chile,3401,677151,26,17573
1/21/2021,Chile,3589,680740,21,17594
1/22/2021,Chile,4367,685107,108,17702
1/23/2021,Chile,4959,690066,84,17786
1/24/2021,Chile,4581,694647,68,17854
1/25/2021,Chile,4463,699110,79,17933
1/26/2021,Chile,4068,703178,66,17999
1/27/2021,Chile,3322,706500,24,18023
1/28/2021,Chile,3388,709888,17,18040
1/29/2021,Chile,4255,714143,134,18174
1/30/2021,Chile,4606,718749,83,18257
1/31/2021,Chile,4151,722900,82,18339
2/1/2021,Chile,4209,727109,113,18452
2/2/2021,Chile,3779,730888,85,18537
2/3/2021,Chile,3147,734035,22,18559
2/4/2021,Chile,2610,736645,17,18576
2/5/2021,Chile,3592,740237,155,18731
2/6/2021,Chile,3782,744019,77,18808
2/7/2021,Chile,4063,748082,87,18895
2/8/2021,Chile,3804,751886,79,18974
2/9/2021,Chile,3464,755350,82,19056
2/10/2021,Chile,2839,758189,28,19084
2/11/2021,Chile,2387,760576,21,19105
2/12/2021,Chile,3731,764307,157,19262
2/13/2021,Chile,4164,768471,83,19345
2/14/2021,Chile,3924,772395,98,19443
2/15/2021,Chile,3814,776209,98,19541
2/16/2021,Chile,3332,779541,83,19624
2/17/2021,Chile,2498,782039,20,19644
2/18/2021,Chile,2275,784314,15,19659
2/19/2021,Chile,3828,788142,139,19798
2/20/2021,Chile,3797,791939,99,19897
2/21/2021,Chile,3906,795845,77,19974
2/22/2021,Chile,3615,799460,68,20042
2/23/2021,Chile,3549,803009,84,20126
2/24/2021,Chile,2308,805317,25,20151
2/25/2021,Chile,2555,807872,22,20173
2/26/2021,Chile,4472,812344,137,20310
2/27/2021,Chile,4585,816929,90,20400
2/28/2021,Chile,4489,821418,76,20476
3/1/2021,Chile,4207,825625,96,20572
3/2/2021,Chile,4145,829770,88,20660
3/3/2021,Chile,2742,832512,24,20684
3/4/2021,Chile,3040,835552,20,20704
3/5/2021,Chile,4567,840119,134,20838
3/6/2021,Chile,5331,845450,90,20928
3/7/2021,Chile,5033,850483,80,21008
3/8/2021,Chile,5302,855785,69,21077
3/9/2021,Chile,4748,860533,86,21163
3/10/2021,Chile,3531,864064,19,21182
3/11/2021,Chile,3885,867949,24,21206
3/12/2021,Chile,5563,873512,156,21362
3/13/2021,Chile,5973,879485,89,21451
3/14/2021,Chile,5894,885379,123,21574
3/15/2021,Chile,5731,891110,100,21674
3/16/2021,Chile,5121,896231,98,21772
3/17/2021,Chile,4551,900782,17,21789
3/18/2021,Chile,4430,905212,27,21816
3/19/2021,Chile,6257,911469,172,21988
3/20/2021,Chile,6584,918053,99,22087
3/21/2021,Chile,7036,925089,93,22180
3/22/2021,Chile,6850,931939,99,22279
3/23/2021,Chile,6155,938094,80,22359
3/24/2021,Chile,4864,942958,25,22384
3/25/2021,Chile,4825,947783,18,22402
3/26/2021,Chile,6979,954762,122,22524
3/27/2021,Chile,7565,962327,63,22587
3/28/2021,Chile,7586,969913,66,22653
3/29/2021,Chile,7330,977243,101,22754
3/30/2021,Chile,7241,984484,316,23070
3/31/2021,Chile,5008,989492,37,23107
4/1/2021,Chile,6046,995538,28,23135
4/2/2021,Chile,7868,1003406,193,23328
4/3/2021,Chile,8079,1011485,93,23421
4/4/2021,Chile,7993,1019478,0,23421
4/5/2021,Chile,7307,1026785,223,23644
4/6/2021,Chile,5827,1032612,33,23677
4/7/2021,Chile,5168,1037780,57,23734
4/8/2021,Chile,5242,1043022,62,23796
4/9/2021,Chile,8248,1051270,183,23979
4/10/2021,Chile,9151,1060421,129,24108
4/11/2021,Chile,8101,1068522,105,24213
4/12/2021,Chile,7977,1076499,133,24346
4/13/2021,Chile,6421,1082920,137,24483
4/14/2021,Chile,5790,1088710,35,24518
4/15/2021,Chile,5557,1094267,30,24548
4/16/2021,Chile,7431,1101698,218,24766
4/17/2021,Chile,7613,1109311,157,24923
4/18/2021,Chile,8037,1117348,132,25055
4/19/2021,Chile,7370,1124718,122,25177
4/20/2021,Chile,6622,1131340,100,25277
4/21/2021,Chile,5095,1136435,40,25317
4/22/2021,Chile,4968,1141403,36,25353
4/23/2021,Chile,6917,1148320,179,25532
4/24/2021,Chile,7582,1155902,109,25641
4/25/2021,Chile,6909,1162811,101,25742
4/26/2021,Chile,6725,1169536,114,25856
4/27/2021,Chile,6078,1175614,119,25975
4/28/2021,Chile,4158,1179772,45,26020
4/29/2021,Chile,4499,1184271,53,26073
12/24/2020,Czechia,14149,660461,112,10776
12/25/2020,Czechia,4402,664863,83,10859
12/26/2020,Czechia,2706,667569,91,10950
12/27/2020,Czechia,3030,670599,94,11044
12/28/2020,Czechia,3741,674340,108,11152
12/29/2020,Czechia,10862,685202,150,11302
12/30/2020,Czechia,16420,701622,127,11429
12/31/2020,Czechia,17039,718661,151,11580
1/1/2021,Czechia,13361,732022,131,11711
1/2/2021,Czechia,3447,735469,116,11827
1/3/2021,Czechia,5012,740481,133,11960
1/4/2021,Czechia,6233,746714,110,12070
1/5/2021,Czechia,12921,759635,187,12257
1/6/2021,Czechia,17332,776967,179,12436
1/7/2021,Czechia,17773,794740,185,12621
1/8/2021,Czechia,14861,809601,179,12800
1/9/2021,Czechia,13115,822716,178,12978
1/10/2021,Czechia,8449,831165,137,13115
1/11/2021,Czechia,4289,835454,157,13272
1/12/2021,Czechia,9345,844799,213,13485
1/13/2021,Czechia,10801,855600,171,13656
1/14/2021,Czechia,10922,866522,200,13856
1/15/2021,Czechia,8083,874605,173,14029
1/16/2021,Czechia,9301,883906,186,14215
1/17/2021,Czechia,5253,889159,123,14338
1/18/2021,Czechia,2693,891852,111,14449
1/19/2021,Czechia,7651,899503,197,14646
1/20/2021,Czechia,9628,909131,174,14820
1/21/2021,Czechia,8228,917359,153,14973
1/22/2021,Czechia,7488,924847,157,15130
1/23/2021,Czechia,8514,933361,140,15270
1/24/2021,Czechia,4256,937617,99,15369
1/25/2021,Czechia,2387,940004,84,15453
1/26/2021,Czechia,6942,946946,165,15618
1/27/2021,Czechia,9209,956155,173,15791
1/28/2021,Czechia,8505,964660,153,15944
1/29/2021,Czechia,7982,972642,128,16072
1/30/2021,Czechia,8072,980714,139,16211
1/31/2021,Czechia,4060,984774,97,16308
2/1/2021,Czechia,2555,987329,84,16392
2/2/2021,Czechia,7185,994514,153,16545
2/3/2021,Czechia,9143,1003657,138,16683
2/4/2021,Czechia,9695,1013352,143,16826
2/5/2021,Czechia,8125,1021477,150,16976
2/6/2021,Czechia,8635,1030112,153,17129
2/7/2021,Czechia,4863,1034975,106,17235
2/8/2021,Czechia,2430,1037405,98,17333
2/9/2021,Czechia,7727,1045132,164,17497
2/10/2021,Czechia,10283,1055415,145,17642
2/11/2021,Czechia,9537,1064952,130,17772
2/12/2021,Czechia,9014,1073966,130,17902
2/13/2021,Czechia,8883,1082849,156,18058
2/14/2021,Czechia,5160,1088009,85,18143
2/15/2021,Czechia,2851,1090860,107,18250
2/16/2021,Czechia,8794,1099654,180,18430
