country,day,vaccine,total_vaccinations
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5198
Chile,12/26/2020,Pfizer/BioNTech,8338
Chile,12/27/2020,Pfizer/BioNTech,8649
Chile,12/28/2020,Pfizer/BioNTech,8649
Chile,12/29/2020,Pfizer/BioNTech,8649
Chile,12/30/2020,Pfizer/BioNTech,8649
Chile,12/31/2020,Pfizer/BioNTech,8649
Chile,1/1/2021,Pfizer/BioNTech,8649
Chile,1/2/2021,Pfizer/BioNTech,8649
Chile,1/3/2021,Pfizer/BioNTech,8649
Chile,1/4/2021,Pfizer/BioNTech,9054
Chile,1/5/2021,Pfizer/BioNTech,10497
Chile,1/6/2021,Pfizer/BioNTech,10702
Chile,1/7/2021,Pfizer/BioNTech,10702
Chile,1/8/2021,Pfizer/BioNTech,10702
Chile,1/9/2021,Pfizer/BioNTech,10702
Chile,1/10/2021,Pfizer/BioNTech,10702
Chile,1/11/2021,Pfizer/BioNTech,10702
Chile,1/12/2021,Pfizer/BioNTech,10702
Chile,1/13/2021,Pfizer/BioNTech,11732
Chile,1/14/2021,Pfizer/BioNTech,18646
Chile,1/15/2021,Pfizer/BioNTech,22077
Chile,1/16/2021,Pfizer/BioNTech,22167
Chile,1/17/2021,Pfizer/BioNTech,22167
Chile,1/18/2021,Pfizer/BioNTech,33213
Chile,1/19/2021,Pfizer/BioNTech,52570
Chile,1/20/2021,Pfizer/BioNTech,61879
Chile,1/21/2021,Pfizer/BioNTech,64940
Chile,1/22/2021,Pfizer/BioNTech,65352
Chile,1/23/2021,Pfizer/BioNTech,65352
Chile,1/24/2021,Pfizer/BioNTech,65352
Chile,1/25/2021,Pfizer/BioNTech,66772
Chile,1/26/2021,Pfizer/BioNTech,67388
Chile,1/27/2021,Pfizer/BioNTech,67423
Chile,1/28/2021,Pfizer/BioNTech,67423
Chile,1/29/2021,Pfizer/BioNTech,67428
Chile,1/30/2021,Pfizer/BioNTech,67429
Chile,1/31/2021,Pfizer/BioNTech,67429
Chile,2/1/2021,Pfizer/BioNTech,67429
Chile,2/2/2021,Pfizer/BioNTech,67435
Chile,2/2/2021,Sinovac,13182
Chile,2/3/2021,Pfizer/BioNTech,67435
Chile,2/3/2021,Sinovac,183553
Chile,2/4/2021,Pfizer/BioNTech,69563
Chile,2/4/2021,Sinovac,357556
Chile,2/5/2021,Pfizer/BioNTech,70251
Chile,2/5/2021,Sinovac,526213
Chile,2/6/2021,Pfizer/BioNTech,70256
Chile,2/6/2021,Sinovac,554063
Chile,2/7/2021,Pfizer/BioNTech,70257
Chile,2/7/2021,Sinovac,562699
Chile,2/8/2021,Pfizer/BioNTech,82050
Chile,2/8/2021,Sinovac,784143
Chile,2/9/2021,Pfizer/BioNTech,101505
Chile,2/9/2021,Sinovac,1026507
Chile,2/10/2021,Pfizer/BioNTech,109940
Chile,2/10/2021,Sinovac,1298916
Chile,2/11/2021,Pfizer/BioNTech,113009
Chile,2/11/2021,Sinovac,1549956
Chile,2/12/2021,Pfizer/BioNTech,113364
Chile,2/12/2021,Sinovac,1779038
Chile,2/13/2021,Pfizer/BioNTech,113398
Chile,2/13/2021,Sinovac,1808545
Chile,2/14/2021,Pfizer/BioNTech,113398
Chile,2/14/2021,Sinovac,1813011
Chile,2/15/2021,Pfizer/BioNTech,113399
Chile,2/15/2021,Sinovac,2078842
Chile,2/16/2021,Pfizer/BioNTech,113409
Chile,2/16/2021,Sinovac,2298815
Chile,2/17/2021,Pfizer/BioNTech,113409
Chile,2/17/2021,Sinovac,2486857
Chile,2/18/2021,Pfizer/BioNTech,113410
Chile,2/18/2021,Sinovac,2642100
Chile,2/19/2021,Pfizer/BioNTech,113410
Chile,2/19/2021,Sinovac,2784212
Chile,2/20/2021,Pfizer/BioNTech,113410
Chile,2/20/2021,Sinovac,2793851
Chile,2/21/2021,Pfizer/BioNTech,113410
Chile,2/21/2021,Sinovac,2795015
Chile,2/22/2021,Pfizer/BioNTech,125505
Chile,2/22/2021,Sinovac,2891046
Chile,2/23/2021,Pfizer/BioNTech,150352
Chile,2/23/2021,Sinovac,2960451
Chile,2/24/2021,Pfizer/BioNTech,178872
Chile,2/24/2021,Sinovac,3018195
Chile,2/25/2021,Pfizer/BioNTech,212585
Chile,2/25/2021,Sinovac,3070552
Chile,2/26/2021,Pfizer/BioNTech,242319
Chile,2/26/2021,Sinovac,3119047
Chile,2/27/2021,Pfizer/BioNTech,248644
Chile,2/27/2021,Sinovac,3122766
Chile,2/28/2021,Pfizer/BioNTech,248646
Chile,2/28/2021,Sinovac,3123119
Chile,3/1/2021,Pfizer/BioNTech,263545
Chile,3/1/2021,Sinovac,3245761
Chile,3/2/2021,Pfizer/BioNTech,294467
Chile,3/2/2021,Sinovac,3386194
Chile,3/3/2021,Pfizer/BioNTech,313024
Chile,3/3/2021,Sinovac,3679460
Chile,3/4/2021,Pfizer/BioNTech,322127
Chile,3/4/2021,Sinovac,3980817
Chile,3/5/2021,Pfizer/BioNTech,327880
Chile,3/5/2021,Sinovac,4272764
Chile,3/6/2021,Pfizer/BioNTech,328224
Chile,3/6/2021,Sinovac,4306186
Chile,3/7/2021,Pfizer/BioNTech,328330
Chile,3/7/2021,Sinovac,4314038
Chile,3/8/2021,Pfizer/BioNTech,340921
Chile,3/8/2021,Sinovac,4651920
Chile,3/9/2021,Pfizer/BioNTech,378510
Chile,3/9/2021,Sinovac,4990743
Chile,3/10/2021,Pfizer/BioNTech,420129
Chile,3/10/2021,Sinovac,5350295
Chile,3/11/2021,Pfizer/BioNTech,465872
Chile,3/11/2021,Sinovac,5721361
Chile,3/12/2021,Pfizer/BioNTech,483279
Chile,3/12/2021,Sinovac,6078150
Chile,3/13/2021,Pfizer/BioNTech,483833
Chile,3/13/2021,Sinovac,6128016
Chile,3/14/2021,Pfizer/BioNTech,483833
Chile,3/14/2021,Sinovac,6134597
Chile,3/15/2021,Pfizer/BioNTech,507728
Chile,3/15/2021,Sinovac,6540811
Chile,3/16/2021,Pfizer/BioNTech,561244
Chile,3/16/2021,Sinovac,6897238
Chile,3/17/2021,Pfizer/BioNTech,616759
Chile,3/17/2021,Sinovac,7208841
Chile,3/18/2021,Pfizer/BioNTech,666319
Chile,3/18/2021,Sinovac,7494015
Chile,3/19/2021,Pfizer/BioNTech,689484
Chile,3/19/2021,Sinovac,7765326
Chile,3/20/2021,Pfizer/BioNTech,691402
Chile,3/20/2021,Sinovac,7797603
Chile,3/21/2021,Pfizer/BioNTech,691412
Chile,3/21/2021,Sinovac,7801623
Chile,3/22/2021,Pfizer/BioNTech,727486
Chile,3/22/2021,Sinovac,8034096
Chile,3/23/2021,Pfizer/BioNTech,787396
Chile,3/23/2021,Sinovac,8214898
